uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
152894128,39.0,216.6153846153846,,,,,,,,,,,1,ar
152896992,6.0,101.66666666666667,,,,,,,,,,,0,ar
152933712,,,,,,,,,,,,,1,ar
152956112,,,,,,,,,,,,,1,ar
152992048,,,,,,,,,,,,,1,ar
152996080,,,,,,,,,,,,,1,ar
153004192,,,,,,,,,,,,,1,ar
153034000,,,,,,,,,,,,,1,ar
153043808,,,,,,,,,,,,,1,ar
153045584,,,,,,,,,,,,,1,ar
153047520,,,,,,,,,,,,,1,ar
153058016,,,,,,,,,,,,,1,ar
153082096,,,,,,,,,,,,,1,ar
153092752,,,,,,,,,,,,,1,ar
153094848,,,,,,,,,,,,,1,ar
153128592,1.0,26.0,,,,,,,,,,,1,ar
153169312,,,,,,,,,,,,,1,ar
153182064,35.0,143.25714285714287,3.0,174.0,,,,,,,,,1,ar
153197184,,,,,,,,,,,,,1,ar
153203040,29.0,47.793103448275865,25.0,54.48,25.0,54.48,,,,,,,1,ar
153205440,5.0,122.6,,,,,,,,,,,1,ar
153209632,,,,,,,,,,,,,1,ar
153243088,,,,,,,,,,,,,1,ar
153259008,,,,,,,,,,,,,1,ar
153261104,,,,,,,,,,,,,1,ar
153297088,,,,,,,,,,,,,1,ar
153301600,,,,,,,,,,,,,1,ar
153308288,,,,,,,,,,,,,1,ar
153348832,6.0,254.83333333333334,2.0,35.0,,,,,,,,,0,ar
153358480,,,,,,,,,,,,,1,ar
153372832,13.0,98.84615384615384,,,,,,,,,,,1,ar
153375296,,,,,,,,,,,,,1,ar
153377616,,,,,,,,,,,,,1,ar
153395616,,,,,,,,,,,,,1,ar
153396560,41.0,41.78048780487805,,,,,,,,,,,1,ar
153424192,,,,,,,,,,,,,1,ar
153430816,,,,,,,,,,,,,1,ar
153436288,,,,,,,,,,,,,1,ar
153450864,,,,,,,,,,,,,1,ar
153451232,,,,,,,,,,,,,1,ar
153478592,,,,,,,,,,,,,1,ar
153490240,,,,,,,,,,,,,1,ar
153497568,7.0,79.14285714285714,,,,,,,,,,,0,ar
153505344,,,,,,,,,,,,,1,ar
153508288,,,,,,,,,,,,,1,ar
153546208,,,,,,,,,,,,,1,ar
153576560,,,,,,,,,,,,,1,ar
153576848,,,,,,,,,,,,,1,ar
153583744,,,,,,,,,,,,,1,ar
153630256,,,,,,,,,,,,,1,ar
153640640,,,,,,,,,,,,,1,ar
153662736,250.0,250.56,121.0,253.95867768595042,82.0,251.890243902439,14.0,253.78571428571428,2.0,254.0,1.0,254.0,0,ar
153695088,,,,,,,,,,,,,1,ar
153711744,,,,,,,,,,,,,1,ar
153716912,,,,,,,,,,,,,1,ar
153719040,,,,,,,,,,,,,1,ar
153724784,,,,,,,,,,,,,1,ar
153725200,1.0,218.0,1.0,218.0,1.0,218.0,1.0,218.0,1.0,218.0,,,1,ar
153725328,,,,,,,,,,,,,1,ar
