uid,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167658576.0,8,7.0,4.0,4.0,2.0,2.0
167658912.0,7,2.0,,,,
167659104.0,21,16.0,16.0,4.0,4.0,4.0
167659456.0,22,1.0,,,,
167659632.0,2,1.0,1.0,1.0,1.0,1.0
167659792.0,58,35.0,17.0,12.0,7.0,7.0
167660240.0,1,1.0,1.0,,,
167660752.0,52,35.0,34.0,26.0,19.0,19.0
167660832.0,55,19.0,6.0,5.0,3.0,3.0
167660976.0,210,201.0,201.0,201.0,201.0,201.0
167661264.0,43,29.0,22.0,,,
167661440.0,56,45.0,41.0,41.0,41.0,40.0
167661664.0,14,1.0,1.0,1.0,1.0,1.0
167661776.0,4,,,,,
167661856.0,3,3.0,3.0,3.0,3.0,3.0
167662048.0,11,9.0,8.0,7.0,7.0,2.0
167662320.0,27,12.0,3.0,3.0,2.0,2.0
167662336.0,65,33.0,23.0,14.0,12.0,10.0
167662896.0,2,2.0,2.0,1.0,,
167662960.0,3,,,,,
167663104.0,182,166.0,,,,
167663888.0,2,,,,,
167664224.0,15,1.0,,,,
167664688.0,24,3.0,3.0,1.0,1.0,1.0
167664752.0,289,284.0,73.0,72.0,70.0,70.0
167664848.0,38,37.0,20.0,18.0,15.0,15.0
167665040.0,11,6.0,6.0,6.0,6.0,6.0
167665488.0,101,,,,,
167666032.0,14,3.0,2.0,2.0,2.0,1.0
167666752.0,188,116.0,108.0,34.0,21.0,13.0
167666832.0,1,,,,,
167666928.0,9,,,,,
167667024.0,10,10.0,1.0,,,
167667104.0,126,1.0,1.0,1.0,,
167668192.0,12,6.0,5.0,5.0,4.0,
167668256.0,51,49.0,2.0,1.0,1.0,1.0
167668576.0,40,29.0,,,,
167669408.0,119,29.0,6.0,,,
167669920.0,97,,,,,
167670432.0,1,1.0,,,,
167670768.0,84,84.0,,,,
167671104.0,94,62.0,13.0,,,
167671248.0,83,83.0,49.0,31.0,20.0,20.0
167671584.0,16,2.0,2.0,2.0,2.0,2.0
167671760.0,1,,,,,
167672128.0,24,21.0,18.0,17.0,17.0,6.0
167672736.0,51,30.0,22.0,17.0,15.0,13.0
167672848.0,30,28.0,27.0,23.0,1.0,1.0
167674208.0,10,9.0,9.0,3.0,3.0,3.0
167674704.0,30,7.0,7.0,2.0,2.0,2.0
167675152.0,55,51.0,51.0,,,
167675488.0,45,43.0,16.0,10.0,9.0,9.0
167675696.0,8,1.0,1.0,1.0,1.0,1.0
167676112.0,10,6.0,1.0,,,
167676176.0,3,3.0,1.0,1.0,1.0,1.0
