uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167674704.0,7,7.0,2.0,2.0,2.0
167675152.0,51,51.0,,,
167675488.0,43,16.0,10.0,9.0,9.0
167675696.0,1,1.0,1.0,1.0,1.0
167676112.0,6,1.0,,,
167676176.0,3,1.0,1.0,1.0,1.0
167677424.0,2,2.0,2.0,2.0,2.0
167678992.0,19,2.0,2.0,,
167679008.0,12,12.0,11.0,5.0,3.0
167679232.0,21,21.0,19.0,15.0,14.0
167679296.0,41,37.0,30.0,21.0,11.0
167679392.0,3,3.0,2.0,2.0,
167679552.0,9,9.0,8.0,8.0,8.0
167679728.0,100,66.0,33.0,3.0,3.0
167680224.0,37,18.0,18.0,1.0,
167681072.0,3,2.0,2.0,2.0,2.0
167681200.0,107,63.0,62.0,61.0,61.0
167681504.0,2,2.0,1.0,1.0,1.0
167681648.0,4,3.0,2.0,2.0,2.0
167682896.0,116,12.0,,,
167683184.0,10,9.0,3.0,,
167683200.0,2,2.0,2.0,2.0,2.0
167683552.0,31,30.0,7.0,5.0,4.0
167683664.0,16,13.0,3.0,3.0,3.0
167683712.0,2,,,,
167683728.0,15,7.0,5.0,5.0,5.0
167683760.0,9,9.0,9.0,8.0,7.0
167684624.0,33,19.0,18.0,10.0,10.0
167684784.0,6,4.0,2.0,2.0,2.0
167685040.0,27,24.0,,,
167685360.0,74,33.0,31.0,31.0,31.0
167686080.0,4,4.0,3.0,3.0,2.0
167686768.0,6,6.0,6.0,6.0,6.0
167686896.0,7,7.0,,,
167687328.0,292,,,,
167687408.0,16,15.0,15.0,14.0,14.0
167687776.0,1,1.0,,,
167689024.0,82,82.0,52.0,52.0,52.0
167689760.0,2,,,,
167690208.0,21,19.0,4.0,4.0,3.0
167690896.0,1,,,,
167691424.0,9,7.0,3.0,2.0,2.0
167691440.0,33,,,,
167691872.0,10,10.0,10.0,10.0,2.0
167691904.0,100,98.0,2.0,2.0,2.0
167691968.0,14,,,,
167692208.0,1,,,,
167692528.0,3,3.0,,,
167692608.0,4,4.0,1.0,1.0,1.0
167693344.0,57,10.0,1.0,1.0,1.0
167693472.0,92,48.0,7.0,7.0,7.0
167694592.0,5,5.0,5.0,4.0,4.0
167695840.0,6,2.0,2.0,2.0,1.0
167696144.0,49,25.0,15.0,15.0,15.0
167696976.0,2,,,,
167698048.0,2,1.0,1.0,1.0,
167698672.0,45,45.0,14.0,14.0,14.0
167699568.0,3,2.0,2.0,2.0,2.0
167700144.0,24,24.0,2.0,2.0,2.0
167700304.0,7,2.0,1.0,1.0,1.0
167700960.0,1,1.0,1.0,1.0,1.0
167701152.0,6,6.0,,,
167701424.0,46,16.0,11.0,8.0,7.0
167702480.0,5,5.0,5.0,5.0,5.0
167702832.0,21,4.0,1.0,,
167703360.0,398,398.0,398.0,398.0,398.0
167703440.0,1,,,,
167703856.0,2,2.0,2.0,2.0,2.0
167704176.0,6,6.0,6.0,5.0,4.0
167704352.0,40,40.0,1.0,1.0,1.0
167704864.0,1,1.0,1.0,1.0,
167706384.0,40,38.0,32.0,30.0,26.0
167706608.0,72,62.0,62.0,62.0,22.0
167706656.0,4,3.0,3.0,3.0,
167707296.0,15,7.0,6.0,6.0,6.0
167707328.0,22,,,,
167707424.0,70,70.0,69.0,66.0,66.0
167707552.0,1,,,,
167707776.0,22,17.0,,,
167708176.0,6,4.0,4.0,4.0,3.0
167708304.0,2,2.0,,,
167708544.0,5,5.0,5.0,5.0,4.0
167708832.0,106,105.0,101.0,100.0,31.0
167709168.0,3,2.0,2.0,1.0,1.0
167709856.0,24,,,,
167710464.0,7,3.0,3.0,,
167710496.0,18,18.0,8.0,8.0,8.0
167710832.0,39,39.0,39.0,39.0,39.0
167711072.0,58,23.0,8.0,6.0,4.0
167711712.0,1,1.0,1.0,1.0,1.0
167712064.0,10,10.0,10.0,6.0,5.0
167712976.0,1,1.0,1.0,,
167712992.0,2,2.0,2.0,,
167713808.0,16,16.0,16.0,16.0,16.0
167714160.0,26,26.0,4.0,2.0,1.0
167714672.0,2,1.0,,,
167714752.0,12,12.0,12.0,12.0,
167714992.0,1,1.0,1.0,1.0,1.0
167715648.0,32,17.0,17.0,17.0,17.0
167715872.0,1,1.0,1.0,1.0,1.0
167716688.0,12,12.0,12.0,12.0,12.0
167717264.0,5,4.0,,,
167717776.0,12,10.0,10.0,10.0,10.0
167718064.0,38,38.0,,,
167718240.0,3,,,,
167718464.0,7,7.0,6.0,6.0,
167718624.0,32,32.0,30.0,30.0,30.0
167719600.0,11,2.0,2.0,2.0,2.0
167719632.0,93,89.0,8.0,6.0,6.0
167719808.0,8,2.0,2.0,2.0,2.0
167719824.0,1,1.0,1.0,1.0,
167719872.0,31,10.0,1.0,1.0,1.0
167719984.0,82,82.0,82.0,82.0,65.0
167720272.0,13,8.0,8.0,8.0,8.0
167720992.0,1,1.0,,,
167721168.0,3,,,,
167721760.0,15,15.0,15.0,15.0,15.0
167721872.0,2,2.0,,,
167721888.0,2,2.0,2.0,1.0,1.0
167722384.0,1,1.0,,,
167722736.0,2,2.0,2.0,1.0,1.0
