uid,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
167676112.0,29,26.0,3.0,3.0,3.0
167676176.0,68,22.0,21.0,19.0,19.0
167676784.0,11,10.0,3.0,3.0,3.0
167677280.0,3,3.0,3.0,3.0,1.0
167677424.0,10,10.0,6.0,4.0,4.0
167678144.0,1,1.0,,,
167678992.0,88,36.0,33.0,23.0,23.0
167679008.0,40,38.0,19.0,12.0,10.0
167679232.0,45,40.0,37.0,24.0,24.0
167679296.0,160,95.0,39.0,20.0,16.0
167679392.0,9,9.0,9.0,5.0,5.0
167679552.0,53,51.0,30.0,28.0,28.0
167679728.0,108,104.0,27.0,22.0,20.0
167680224.0,27,4.0,,,
167680416.0,3,,,,
167681072.0,11,11.0,9.0,9.0,9.0
167681200.0,603,315.0,311.0,305.0,305.0
167681504.0,6,6.0,2.0,,
167681648.0,97,92.0,87.0,84.0,72.0
167682896.0,15,15.0,,,
167683184.0,68,59.0,45.0,22.0,21.0
167683200.0,15,15.0,13.0,7.0,7.0
167683552.0,70,57.0,42.0,40.0,40.0
167683664.0,175,98.0,27.0,20.0,20.0
167683712.0,12,6.0,,,
167683728.0,42,17.0,9.0,9.0,9.0
167683760.0,37,37.0,35.0,21.0,10.0
167684624.0,79,63.0,43.0,24.0,24.0
167684784.0,22,8.0,1.0,1.0,1.0
167684992.0,74,44.0,22.0,22.0,22.0
167685040.0,26,19.0,7.0,7.0,7.0
167685360.0,82,65.0,56.0,53.0,50.0
167686080.0,45,37.0,34.0,20.0,18.0
167686512.0,1,1.0,1.0,,
167686768.0,9,7.0,3.0,3.0,3.0
167686896.0,3,3.0,3.0,2.0,2.0
167687328.0,88,12.0,4.0,4.0,4.0
167687408.0,9,9.0,9.0,8.0,8.0
167687776.0,3,3.0,,,
167688320.0,1,1.0,1.0,,
167689024.0,17,17.0,17.0,17.0,17.0
167689760.0,77,73.0,72.0,,
167690208.0,32,29.0,22.0,22.0,19.0
167690896.0,6,3.0,,,
167691424.0,53,27.0,10.0,9.0,9.0
167691440.0,46,46.0,35.0,5.0,5.0
167691872.0,12,12.0,6.0,6.0,6.0
