uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,last_search,last_download,Churn,last_play,device_ar,device_both,device_ip,precent
168518992,1148.0,180.83536585365852,941.0,174.90435706695004,389.0,154.12339331619538,121.0,124.99173553719008,42.0,173.02380952380955,5.0,189.0,145.0,119.0,71.0,29.0,24.0,23.0,67.0,45.0,22.0,6.0,5.0,5.0,1.0,4.0,0,1,0,1,0,0.7436026936026936
168519072,1062.0,173.22504708097932,544.0,142.88235294117646,408.0,124.86274509803921,216.0,127.41203703703705,136.0,109.92647058823529,31.0,112.83870967741936,40.0,7.0,3.0,3.0,3.0,3.0,80.0,76.0,30.0,30.0,30.0,30.0,19.0,18.0,0,1,0,1,0,0.697436811197507
168519184,371.0,107.19676549865231,187.0,125.29946524064172,163.0,112.76687116564419,34.0,83.5,0.0,0.0,0.0,0.0,25.0,11.0,8.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,14.0,13.0,0,6,1,0,0,0.42608127363695775
168519248,951.0,175.91587802313356,727.0,165.7537826685007,519.0,151.26396917148358,258.0,109.95736434108528,161.0,87.3167701863354,3.0,231.33333333333331,30.0,22.0,18.0,12.0,9.0,1.0,12.0,11.0,11.0,11.0,0.0,0.0,2.0,7.0,0,1,0,1,0,0.6739583207441515
168519424,1622.0,166.94204685573362,559.0,138.88014311270126,235.0,136.8595744680851,20.0,163.2,7.0,229.0,2.0,248.5,103.0,71.0,33.0,18.0,13.0,13.0,65.0,31.0,11.0,7.0,7.0,7.0,5.0,11.0,0,1,0,1,0,0.7325367174628766
168519872,265.0,136.70269816603778,201.0,136.7025622587065,150.0,133.08143342666668,29.0,113.55172413793105,1.0,230.0,1.0,230.0,134.0,70.0,52.0,14.0,6.0,6.0,27.0,18.0,12.0,3.0,1.0,1.0,4.0,4.0,0,1,0,1,0,0.5198083383357378
168519952,280.0,189.3892857142857,75.0,199.50666666666663,33.0,200.1818181818182,28.0,217.2142857142857,15.0,208.53333333333333,0.0,0.0,80.0,26.0,23.0,17.0,16.0,14.0,55.0,3.0,2.0,1.0,1.0,1.0,3.0,13.0,0,3,0,1,0,0.7601634174311926
168520288,2268.0,223.41975308641972,1430.0,225.5097902097902,776.0,191.0824742268041,358.0,209.32402234636868,210.0,209.59047619047615,156.0,223.93589743589746,176.0,100.0,87.0,37.0,31.0,30.0,171.0,66.0,61.0,0.0,0.0,0.0,3.0,9.0,0,1,0,1,0,0.7967307867684286
168520416,432.0,179.64583333333337,287.0,155.0383275261324,117.0,176.94871794871796,62.0,161.40322580645162,56.0,169.26785714285714,3.0,232.66666666666663,15.0,4.0,3.0,3.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,7.0,17.0,0,1,0,1,0,0.6476262799062028
168520432,149.0,214.3020134228188,40.0,220.1,27.0,229.14814814814812,16.0,222.0625,9.0,217.33333333333331,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,19.0,15.0,0,3,1,0,0,0.8362403100775194
